City,Population Growth Rate,Education Index,Health Index,Infrastructure Quality Index,Digital Penetration Rate,Green Cover %,Employment Rate,Gini Coefficient
Delhi,2.5,0.82,0.78,0.81,0.88,20.5,72.1,0.35
Mumbai,2.3,0.84,0.76,0.79,0.91,18.3,70.5,0.37
Bangalore,2.7,0.87,0.80,0.83,0.95,24.1,74.2,0.34
Hyderabad,2.6,0.85,0.79,0.82,0.93,22.9,73.0,0.36
Chennai,2.4,0.83,0.77,0.80,0.89,19.8,71.3,0.35
Kolkata,2.2,0.80,0.75,0.76,0.86,21.4,69.9,0.38
Ahmedabad,2.5,0.81,0.74,0.78,0.87,20.0,70.2,0.37
Pune,2.6,0.86,0.79,0.81,0.92,23.0,72.5,0.34
Jaipur,2.3,0.78,0.72,0.75,0.84,18.7,68.4,0.39
Lucknow,2.1,0.76,0.70,0.72,0.82,17.2,67.1,0.40
Kanpur,2.0,0.75,0.69,0.70,0.80,16.8,66.5,0.41
Nagpur,2.4,0.82,0.76,0.77,0.88,21.1,70.0,0.36
Indore,2.5,0.83,0.77,0.78,0.89,20.5,70.8,0.35
Bhopal,2.3,0.80,0.74,0.76,0.85,19.2,69.3,0.37
Patna,2.0,0.74,0.68,0.69,0.78,15.9,65.0,0.42
Ranchi,2.1,0.75,0.69,0.70,0.79,16.2,65.7,0.41
Raipur,2.2,0.76,0.70,0.71,0.80,16.5,66.1,0.40
Chandigarh,2.6,0.88,0.82,0.84,0.94,25.0,75.2,0.33
Amritsar,2.3,0.80,0.74,0.76,0.86,20.3,69.7,0.36
Surat,2.7,0.84,0.77,0.79,0.90,22.0,71.8,0.35
Vadodara,2.5,0.82,0.75,0.77,0.88,21.3,70.6,0.36
Nashik,2.4,0.81,0.74,0.76,0.87,20.7,70.1,0.37
Faridabad,2.3,0.80,0.73,0.75,0.85,19.5,69.2,0.38
Meerut,2.2,0.79,0.72,0.74,0.83,18.9,68.0,0.39
Rajkot,2.5,0.83,0.76,0.78,0.89,21.0,71.0,0.36
Varanasi,2.1,0.77,0.70,0.72,0.81,17.4,66.8,0.40
Madurai,2.3,0.80,0.73,0.75,0.85,19.1,69.0,0.37
Coimbatore,2.4,0.82,0.75,0.77,0.87,20.0,70.3,0.36
Jodhpur,2.2,0.78,0.71,0.73,0.83,18.2,67.9,0.39
Gwalior,2.1,0.76,0.69,0.71,0.80,17.0,66.0,0.40
Agra,2.2,0.77,0.70,0.72,0.82,17.8,67.2,0.39
Thiruvananthapuram,2.5,0.89,0.84,0.85,0.95,26.1,76.0,0.32
Vijayawada,2.4,0.81,0.74,0.76,0.86,19.9,70.0,0.37
Visakhapatnam,2.5,0.83,0.76,0.78,0.88,21.1,71.2,0.36
Ludhiana,2.3,0.79,0.72,0.74,0.84,18.8,68.5,0.38
Jamshedpur,2.2,0.78,0.71,0.73,0.83,18.0,67.7,0.39
Hubli,2.3,0.79,0.72,0.74,0.84,18.5,68.2,0.38
